geocodigo;lst_2014;lst_2015;lst_2016;lst_2017;lst_2018;lst_2019;lst_2020
1508308;29,09;29,58;30,07;29,83;29,27;29,29;29,65
1501105;27,11;27,13;27,52;27,175;27,055;26,58;26,97
1500958;30,45;33,15;31,43;32,29;31,35;32,02;30,81
1502103;27,29;27,95;28,15;27,99;27,29;27,32;28,21
1504802;32,1;32,59;32,8;32,35;31,495;31,145;31,25
1506559;30,03;30,05;30,59;30,24;29,18;30,41;30,62
1505205;27,85;27,73;28,09;28,17;27,11;26,69;28,21
1507904;28,92;29,65;28,82;29,95;28,07;28,67;29,01
1507151;32,31;33,57;33,99;32,85;33,34;32,1;33,97
1503309;28,29;28,59;29,15;29,07;28,4;28,22;29,21
1506104;28,77;29,33;29,56;29,43;28,92;29;30,05
1508159;32,19;33,21;32,98;31,76;30,21;31,01;31,66
1507805;26,59;26,31;26,99;27,24;26,37;26,4;26,41
1500347;32,1;32,89;32,405;32,94;32,51;32,15;33,11
1501709;28,97;29,81;30,21;29,37;28,85;28,95;29,29
1508035;29,69;29,45;30,63;30,59;28,97;29,75;30,27
1500909;29,19;29,27;29,86;29,32;28,54;28,73;29,46
1503200;30,41;30,87;30,53;30,75;29,79;29,28;30,35
1504950;30,77;31,59;31,11;31,85;30,03;29,88;30,73
1504703;28,56;28,92;29,125;29,05;28,72;28,625;29,11
1506005;28,885;29,645;29,84;29,165;28,92;28,45;27,31
1507466;28,32;28,79;28,13;28,11;27,66;27,99;27,97
1504059;30,87;32,84;31,33;32,87;31,45;31;31,32
1507979;31,32;31,53;30,57;30,41;29,27;29,61;29,39
1501501;28,376;29,25;29,66;29,982;28,88;28,55;29,422
1502400;30,378;31,14;30,78;32,05;30,63;30,652;31,51
1504109;28,43;28,87;29,25;28,97;28,71;28,55;29,02
1503408;28,33;29,1;29,43;29,45;28,67;28,33;28,81
1507961;29,37;30,13;30,03;30,51;29,11;28,81;29,29
1502608;26,94;27,57;26,89;27,09;26,29;26,65;27,27
1502806;0;0;0;0;0;0;0
1507755;32,03;33,58;33,88;33,595;32,745;32,4;32,36
1504455;29,775;29,5;29,57;30,865;29,305;29,51;30,145
1501782;29,25;30,37;29,27;29,68;28,57;29,13;29,85
1505650;32,66;33,92;33,19;34,11;30,88;31,7;32,47
1501303;28,344;28,354;28,41;29,53;28,276;28,36;28,304
1500107;27,77;28,91;28,72;28,93;28,03;27,77;28,89
1508001;29,69;31,3;30,84;31,77;30,28;29,79;30,275
1507953;32,44;33,76;34,33;34,41;33,05;33,21;33,65
1502756;29,28;30,29;30,77;30,34;29,39;28,91;29,35
1507201;27,43;28,45;28,47;28,68;27,23;27,1;27,81
1501907;27,28;28,05;28,04;28,27;27,79;26,65;28,19
1506500;29,17;29,55;30,11;30,57;29,51;29,29;29,6
1506351;27,65;28,1;28,37;28,06;27,88;27,4;28,35
1506906;27,3;28,52;27,75;27,96;27,23;27,55;27,57
1508209;28,23;28,71;28,27;28,81;27,83;28,06;28,55
1502905;29,37;29,54;29,05;29,17;28,55;28,43;29,14
1506203;28,04;28,25;28,15;28,15;27,07;27,47;27,89
1501576;33,17;33,22;33,31;34,45;34,85;33,47;34,05
1501600;29,55;30,74;30,51;30,21;29,61;29,19;29,9
1503804;33,27;34,245;32,24;34,2;32,43;33,115;33,235
1504505;27,43;27,29;27,06;27,35;27,1;26,63;26,86
1500800;32,55;32,994;33,214;33,668;33,69;32,57;33,704
1501402;28,058;29,52;29,588;29,556;28,164;27,982;29,494
1501758;32,64;34,87;33,95;33,93;33;32,09;33,93
1502764;32,09;31,985;32,375;31,89;30,85;30,435;31,58
1503705;30,41;31,35;30,63;30,4;30,41;30,61;30,7
1504976;32,13;32,07;32,67;33,15;32,11;31,93;32,7
1504422;30,03;30,742;30,69;31,745;30,638;29,87;30,71
1505601;29,42;30,11;29,94;30,58;29,73;29,55;29,69
1506609;30,23;30,61;31,13;31,9;30,79;29,63;30,7
1506302;28,21;28,57;28,23;28,39;27,73;27,71;27,81
1507474;28,6;28,91;28,91;29,03;28,33;28,6;28,93
1507003;29,2;30,17;29,47;29,89;28,97;29,04;29,39
1506161;32,89;34,65;34,135;32,21;32,105;31,72;32,05
1505064;31,82;32,82;32,58;32,37;31,47;32,27;32,47
1508100;30,09;30,34;29,57;29,61;28,47;29,68;29,62
1500305;25,85;26,43;26,63;26,27;25,95;25,73;25,73
1502202;30,71;30,47;31,39;31,21;30,2;30,48;31,65
1505007;29,49;30,25;29,86;29,81;29,47;29,04;29,68
1506708;34,06;34,25;34,97;33,79;33,71;33,69;34,44
1507300;31,61;32,05;31,31;32,29;30,33;30,63;30,93
1502004;31,98;31,83;31,75;32,37;30,15;29,57;30,81
1500701;26,83;27,325;27,025;27,195;26,9;26,38;26,96
1502855;31,67;31,42;31,35;30,65;30,07;29,32;28,41
1502707;32,81;33,27;34,35;33,07;32,81;31,83;32,03
1506138;34,94;35,35;34,99;34,11;34,41;34,42;34,15
1503044;35,68;36,43;36,41;36,21;35,55;33,68;35,23
1505551;33,71;33,97;33,51;33,05;33,39;31,77;32,25
1503093;34,72;35,71;33,85;34,55;32,55;33,955;34,92
1502939;35,05;34,73;35,99;35,05;33,91;33,93;35,02
1507458;31,97;32,7;32,09;32,47;31,79;31,29;32,05
1503606;30,73;31,69;31,69;31,84;31,13;30,27;31,14
1500602;30,87;32,71;30,77;31,186;30,262;30,27;30,7
1505486;33,31;31,41;31,37;32,41;31,31;31,65;31,21
1503754;30,57;30,42;29,57;29,19;28,9;28,86;29,85
1508407;32,16;33,07;32,93;32,7;32,71;31,895;31,55
1502301;30,49;31,29;31,84;31,59;29,47;29,93;30,56
1503077;29,56;31,32;30,83;31,11;29,45;29,93;30,65
1503507;29,62;30,09;30,41;30,86;29,65;29,27;29,94
1505908;26,23;27,54;27,29;27,37;26,25;26,61;25,95
1501956;28,61;29,19;29,24;29,57;29,11;28,89;29,27
1508084;32,96;32,07;32,21;33,05;31,69;31;31,69
1505635;32,18;33,24;33,585;34,625;33,595;31,97;32,375
1502152;32,56;34,89;33,666;33,79;32,82;31,77;33,53
1502772;32,75;33,705;32,73;33,69;32,89;32,26;32,31
1505536;31,706;31,34;31,97;32,576;31,846;31,266;31,4
1507508;30,3;31,19;31,83;31,55;30,46;30,53;31,99
1505494;32,63;33,17;32,15;32,33;32,42;30,95;31,97
1500206;28,23;28,63;29,12;29,29;28,33;27,88;28,79
1500859;31,09;31,39;31,03;33,13;30,78;30,95;31,15
1508050;30,17;30,44;31,01;31,44;30,65;30,41;30,65
1500503;28,38;29,17;28,63;29,19;28,19;27,57;27,8
1505700;27,31;27,87;27,98;27,47;27,25;27,03;27
1507607;29,93;30,83;30,65;30,79;29,71;30,05;30,25
1505403;30,01;30,42;30,89;30,33;29,37;29,15;30,33
1503457;29,1;30,04;30,34;30,31;29,07;28,85;29,38
1501204;27,42;28,1;27,7;28,04;27,06;27,57;28,17
1508126;32,29;33,02;34,05;33,73;31,88;32,81;32,67
1501725;30,75;32,52;31,61;31,09;30,09;30,26;30,85
1505502;33,39;35,67;36,23;35,45;33,7;34,376;34,2
1505031;33,455;33,185;32,435;33,16;32,345;32,105;32,58
1504208;31,382;32,15;32,106;32,23;31,41;31,422;31,84
1506112;26,63;27,29;27,37;27,53;26,59;26,56;27,27
1508357;30,55;31,48;30,29;30,41;29,19;29,05;29,69
1507706;-123,11;-122,95;-123,22;-122,84;-123,52;-123,48;-122,865
1500131;32,31;33,59;32,97;31,97;32,46;32,01;32,85
1504901;27,44;27,92;27,59;28,25;27,45;27,55;28,13
1505437;32,52;32,41;32,07;32,15;32,01;31,22;31,74
1507409;29,07;30,01;29,73;30,47;28,93;29,34;29,82
1504307;27,67;28,21;27,91;27,35;27,35;27,12;27,35
1504406;28,05;28,43;27,97;27,89;27,24;27,57;27,99
1506187;32,35;33,43;34,17;32,65;32,27;32,39;33,83
1503002;28,17;28,36;27,84;27,85;27,06;26,14;27,06
1506401;29,63;29,32;29,04;29,36;29,065;29,3;29,695
1507102;27,34;27,63;27,38;27,65;27,13;27,03;27,31
1505809;27,4;27,41;27,36;27,09;26,87;26,26;27,07
1502954;32,67;32,65;32,975;34,22;32,56;32,39;32,75
1501253;31,09;31,19;31,385;30,81;30,85;29,745;30,045
1506195;31,04;32,12;31,745;33,425;30,97;30,305;31,37
1501808;27,43;27,82;27,24;27,35;26,88;27,03;27,43
1504000;26,97;27,135;26,895;27,24;26,455;26,41;27,09
1503101;26,99;27,91;27,15;27,21;26,21;26,8;26,66
1504604;26,99;26,9;27,43;27,82;27,18;27,34;27,01
1506583;32,75;32,46;33,17;32,44;32,38;31,87;31,59
1501451;30,33;29,97;31,51;31,65;29,94;30;30,05
1503903;29,63;29,51;30,01;29,75;27,98;27,71;28,62
1500404;31,585;30,5;32,135;31,715;30,255;29,965;29,95
1504752;32,17;34,15;33,21;32,15;32,14;31,17;31,19
1501006;28,005;28,42;28,25;27,755;26,775;27,49;27,665
1506807;30,55;31,11;31,07;30,3;29,78;29,536;29,92
1505304;30,12;30,05;29,95;29,81;29,11;28,95;28,55
1505106;31,41;31,24;30,21;31,01;29,37;29,4;28,77
